Name,Industry,City,Phone Number,Company Domain Name,Company owner,Lead Source,Lead Source Detail,CR Number
مصنع كيماويات السعودية,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966594403017,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050045329.0
شركة المنار للمنتجات البلاستيكية المحدودة,منتجات البلاستيك والمطاط,منطقة المدينة المنورة,966503653039,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4700006125.0
مصنع الجوف لانتاج زيت الزيتون والمخللات,الأغذية,منطقة الجوف,966540627777,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,3400018986.0
مصنع الشركة السعودية لمنتجات الألبان والأغذية سدافكو,الأغذية,منطقة مكة المكرمة,966555775993,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030311244.0
شركة عبر المستقبل للبلاستيك,منتجات البلاستيك والمطاط,منطقة الرياض,966597778880,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010300474.0
شركة هداية للصناعات المعدنية,صناعة المعادن,منطقة الرياض,966554446864,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010640952.0
شركة رواد النخبة للاعلاف,الأغذية,منطقة الرياض,966555723051,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010738244.0
مصنع شركة الخدمات والانشاءات للحماية البترولية,مواد البناء,المنطقة الشرقية,966547077880,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050112631.0
مصنع شركة دلة فارما,الكيماويات المتخصصة,منطقة مكة المكرمة,966533448188,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030278471.0
مصنع شركة محمد عبد الله شربتلي لتجهيز و تعبئة و حفظ الفواكه و الخضار/فرع تبوك,الأغذية,منطقة تبوك,544220099,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,3550013734.0
شركة المصنع الوطني الحديث للكيماويات,الكيماويات المتخصصة,المنطقة الشرقية,966505709084,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050110423.0
فرع شركة توتال السعودية للمنتجات البترولية المحدودة,منتجات تكرير النفط,منطقة مكة المكرمة,966508713087,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4602003466.0
شركة ميزان للأغذية,الأغذية,منطقة الرياض,966567609202,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1011021456.0
مصنع شركة عبيد ويد عبيد المستادي الحربي ومحمد بن سالم محمد الصاعري وشركهما,صناعة المعادن,منطقة مكة المكرمة,966500664692,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030154930.0
مصنع شركة الاتحاد الكيميائية لكيماويات التنظيف الجاف,الكيماويات المتخصصة,منطقة الرياض,966566859970,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1011014556.0
شركة الجبيل المتكاملة للتغليف,منتجات البلاستيك والمطاط,المنطقة الشرقية,966559997149,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2055003556.0
مصنع الخزامى الطبية للصناعة,القطاعات أخرى,منطقة الرياض,966560608470,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010462317.0
مصنع شركة عبدالله هاشم للغازات الصناعية,الكيماويات الأساسية والمتوسطة,منطقة جيزان,552513814,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030023276.0
مصنع الخير للقهوة,الأغذية,منطقة مكة المكرمة,966531010106,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030131264.0
شركة التصوير الجزيئي الطبية المحدودة,الكيماويات الأساسية والمتوسطة,منطقة مكة المكرمة,966566559174,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030233131.0
مصنع شركة سنام المتطورة للمنتجات الانشائية,صناعة المعادن,منطقة مكة المكرمة,966553044598,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030204309.0
الشركة السعودية للأسماك,الأغذية,منطقة جيزان,966598927282,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,5900001712.0
شركة تسويق وتوزيع المواد الكيميائيه المحدودة,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966536418883,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050099649.0
شركة مصنع السعودية مسبك كارلوجيلي وشركاؤه المحدودة,صناعة المعادن,منطقة مكة المكرمة,966505704442,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030286954.0
مصنع راتنجات الخليج للراتنجات الصناعية,الكيماويات الأساسية والمتوسطة,منطقة الرياض,966567634444,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1011014128.0
مصنع مجموعة المهنا للصناعة,صناعة المعادن,منطقة مكة المكرمة,966505619930,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030280474.0
شركة ايميرس مينيرالس العربيه المحدوده,الكيماويات المتخصصة,منطقة مكة المكرمة,966542575060,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4602005969.0
مصنع سليمان بن صالح المهيلب و أبنائة للمنتجات الاسمنتية,مواد البناء,منطقة تبوك,966535596663,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,3550037859.0
مصنع بشائر المستقبل للصناعة,منتجات تكرير النفط,منطقة الرياض,966541270800,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010386102.0
شركة جودة الصناعة,صناعة المعادن,منطقة الرياض,966556707113,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010269892.0
شركة مصنع عارفكو للبلاستيك,الكيماويات الأساسية والمتوسطة,منطقة مكة المكرمة,966505532680,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030142143.0
مصنع مصفاة تلال,الكيماويات المتخصصة,منطقة جيزان,966566121043,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,5900028230.0
مصنع الرائز للكبريتات,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,504426841,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2055011048.0
مصنع عكل لاجهزة الري المحوري وملحقاتها,الالات والمعدات,منطقة الرياض,966553301251,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010154525.0
فرع شركة ارماز الخليج للكيماويات المحدودة,الكيماويات المتخصصة,منطقة الحدود الشمالية,966555665379,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,3450015484.0
مصنع أجهزة معدات الطاقة و الصناعة والمواد الكيماوية,الكيماويات المتخصصة,المنطقة الشرقية,966509800890,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050050130.0
شركة الخليج لانتاج بودرة البولي استر,الكيماويات المتخصصة,منطقة مكة المكرمة,966590097317,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030596375.0
فرع المصنع الوطني لمعالجة وتحسين المعادن,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966544054610,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050101112.0
مصنع عالمية المشاريع للمنتجات البترولية,منتجات تكرير النفط,منطقة الرياض,966500505175,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1011020927.0
شركة شوربيم الشرق الأوسط,الأغذية,منطقة الرياض,966501213808,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010180683.0
مصنع ريديان لخدمات النفط والغاز للصناعة,صناعة المعادن,المنطقة الشرقية,966539068663,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2055130920.0
شركة الرؤية الخضراء للمنتجات الورقية,القطاعات أخرى,المنطقة الشرقية,966553140231,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2257107530.0
شركة نبراس الوطنية للتقنية,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966503958582,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2055123889.0
مصنع شركة الصناعات الاسمنتية,مواد البناء,منطقة حائل,966536036400,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,3350020576.0
مصنع موجه للأسفلت المستحلب والعوازل الاسفلتية,مواد البناء,منطقة الرياض,966505458605,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010271533.0
مصنع شركة ماز للمنتجات الحديدية,صناعة المعادن,المنطقة الشرقية,966530233388,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050093593.0
شركة تقنية الغذاء للصناعة,الأغذية,المنطقة الشرقية,966505965660,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050235441.0
مصنع سندان الحديث للمنتجات النفطية,الكيماويات المتخصصة,منطقة مكة المكرمة,966504635566,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4602002579.0
مصنع الثمار المباركة للصناعة,الأغذية,منطقة مكة المكرمة,966555301042,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030605482.0
مصنع سوائل الحفر,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966509800890,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050050128.0
شركة اكساء و ديكور المحدودة شركة شخص واحد,القطاعات أخرى,منطقة الرياض,966505250651,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010663203.0
مصنع شركة تقنية العالم لتعبئة  الزيوت,منتجات تكرير النفط,منطقة الرياض,966566675660,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1110001026.0
الشركة السعودية للخرسانة الجاهزة,مواد البناء,منطقة الرياض,966594700009,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010060431.0
شركة تالد للصناعة,الأغذية,منطقة مكة المكرمة,966530313169,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030360994.0
مصنع الشركة السعودية لصناعة الأيروسولات /فرع شركة الكيماويات المتحدة,الكيماويات المتخصصة,المنطقة الشرقية,966503002492,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050100023.0
فرع مصنع شركة المنتجات البيتومينية المحدودة بيتومات,مواد البناء,المنطقة الشرقية,966555786257,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050113917.0
مصنع اسفنج اليمامة للصناعة,منتجات البلاستيك والمطاط,منطقة الرياض,966500866813,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010437823.0
فرع شركة فوسام المحدودة,الكيماويات المتخصصة,المنطقة الشرقية,966500710739,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050014960.0
مصنع الشركة العربية الكيماوية للبولي يوريثين فرع شركة ابراهيم الجفالي واخوانة,الكيماويات الأساسية والمتوسطة,منطقة مكة المكرمة,966551911189,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030202391.0
مصنع منتجات الربيع للأعلاف,الأغذية,منطقة الرياض,966569956749,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1185002812.0
مصنع الشركة العربية للخدمات المتكاملة للاعلاف,الأغذية,منطقة الرياض,966556070660,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1011021399.0
مصنع شركة مجموعة بسام مطشر عجمي السعدون للخيوط الصناعية,القطاعات أخرى,منطقة مكة المكرمة,966599227857,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030291943.0
مصنع الديلا لصناعة الاطعمة,الأغذية,منطقة الرياض,966591881424,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1126002465.0
مصنع شركة بيت ريتال للتجارة والتقسيط,الالات والمعدات,منطقة الرياض,533381791,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010200899.0
مصنع شركة النشمي للصناعات الحديدية,صناعة المعادن,منطقة الرياض,966500254994,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010204040.0
فرع الشـركة السعوديه للخرسانة الجاهزة المحدوده,مواد البناء,منطقة القصيم,966594700009,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1131025630.0
مصنع ساف كبريت للصناعة,الكيماويات الأساسية والمتوسطة,منطقة الرياض,966504665888,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010277051.0
مصنع لؤلؤة نجد للزجاج,مواد البناء,منطقة تبوك,966550462020,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,3550021995.0
شركة جرايف العربية السعودية المحدودة,صناعة المعادن,منطقة الرياض,966539147557,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010240112.0
مصانع ناجا للعناصر الانشائية,مواد البناء,منطقة الرياض,531118187,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010267523.0
مصنع الفهد للمنتجات الخرسانية الجاهزة,مواد البناء,منطقة القصيم,503147400,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1128011906.0
مصنع موه لتحلية المياه,القطاعات أخرى,منطقة الرياض,502293950,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1010200148.0
فرع شركة سيمنس للطاقة,الالات والمعدات,المنطقة الشرقية,966599885820,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,2050104437.0
فرع شركة اليمامة للطوب الأحمر و المنتجات الفخارية,مواد البناء,منطقة الرياض,966555117938,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1111000616.0
مصنع القحطاني للمسامير والأسلاك المجلفنة لاصحابه طارق عبدالهادي القحطاني واخوانه,صناعة المعادن,منطقة مكة المكرمة,966530404047,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030122877.0
شركة مصنع الأنسجة المتطورة,القطاعات أخرى,المنطقة الشرقية,966541191936,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,2250027835.0
شركة المطاحن الرابعه فرع الدينة المنورة,الأغذية,منطقة المدينة المنورة,966558989580,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4650082090.0
شركة السعودية للجيلاتين والكبسولات,الادوية,منطقة مكة المكرمة,966555998307,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4031047810.0
شركة تشكيل وطلاء الحديد,صناعة المعادن,منطقة جيزان,966501507110,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,5900028897.0
شركة الصناعات الكيميائية الاساسية,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966509588896,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,2050002795.0
شركة اتحاد صناعة العلب,صناعة المعادن,منطقة مكة المكرمة,966563274177,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030161555.0
مصنع منتجات التغليف,منتجات البلاستيك والمطاط,منطقة الرياض,966537767644,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1010131000.0
مصنع أطياف الدهانات للصناعة,الكيماويات المتخصصة,منطقة القصيم,966505747171,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1128019483.0
الشركة السعودية للدولومايت,مواد البناء,المنطقة الشرقية,966531110070,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,2059000946.0
الشركة الاندلسية للحجر الطبيعي والرخام,مواد البناء,منطقة الرياض,966507772110,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1010141229.0
مصنع شركة الشرق الأوسط لمحركات الطائرات المحدودة,الطيران,منطقة الرياض,966555395900,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1010089160.0
مصنع زري للمجوهرات الذهبيه,القطاعات أخرى,منطقة الرياض,966551224223,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1010056575.0
شركة المستقبل للصناعات الحديدية و الصلب,صناعة المعادن,منطقة عسير,966531932277,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,5855027279.0
مصنع اليمامه للصناعات الحديدية,صناعة المعادن,المنطقة الشرقية,966538977058,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,2050059045.0
شركة المشروبات النقية للصناعة,الأغذية,منطقة مكة المكرمة,966561534909,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030311962.0
شركة دلتا الاغذية للتصنيع,الأغذية,منطقة مكة المكرمة,966544635664,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030096238.0
شركة محمود سعيد للصناعات الحديدية المحدودة,صناعة المعادن,منطقة مكة المكرمة,966533566829,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030274177.0
الشركة السعودية الالمانية للمنتجات غير المغزولة,القطاعات أخرى,المنطقة الشرقية,966533343249,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,2050108266.0
مصنع العصيمي للحديد الصناعي,صناعة المعادن,المنطقة الشرقية,966551535554,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,2050020166.0
الشركة الوطنية للجلفنة والأعمدة الحديدية,صناعة المعادن,منطقة الرياض,966505421279,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1010026063.0
شركة تيناريس العربية السعودية المحدودة,صناعة المعادن,المنطقة الشرقية,966500839558,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,2050059485.0
شركة استرا للتعدين المحدودة الصناعية,مواد البناء,منطقة الرياض,966545999166,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1011024065.0
شركة مصنع دار الأنظمة للوحات الكهربائية,الالات والمعدات,منطقة الرياض,966540666452,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1010223059.0
مصنع شركة مملكة المعادن لانتاج بودرة الحجر الجيري,الكيماويات الأساسية والمتوسطة,منطقة الرياض,555064081,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1010289651.0
المصنع السعودي للأغذية الحديثة,الأغذية,منطقة مكة المكرمة,966505514067,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030126683.0
شركة مصنع الشروق للصناعات الحديديه المحدوده,صناعة المعادن,منطقة مكة المكرمة,966502875146,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030166971.0
شركة رواد الزيوت النباتية للصناعة,الأغذية,منطقة المدينة المنورة,966566619995,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4700011710.0
مصنع الشركة المتحدة للصناعات التعدينية,مواد البناء,منطقة المدينة المنورة,966555709157,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4700012262.0
شركة اس أن تي الخليج للصناعة شركة الشخص الواحد,صناعة المعادن,المنطقة الشرقية,966562779956,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,2050080254.0
الوطنية للمنتجات الورقية فرع شركة الوطنية للصناعة,القطاعات أخرى,منطقة مكة المكرمة,966558282258,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030146419.0
مصنع شركة كنداسة لخدمات المياه,القطاعات أخرى,منطقة مكة المكرمة,966545050260,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030143454.0
شركة الحمراني للصناعة,مواد البناء,منطقة مكة المكرمة,966562000650,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,4030014668.0
مصنع الشركة العربية للمنتجات الاسمنتية مساهمة مقفلة,مواد البناء,منطقة الرياض,966504243979,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - المتوسطة,1011020778.0
